,protein,RYGB,SHAM
1268,Lipa,"[319662.8370664019 204393.366647902 138751.95047561507 141339.14161541793
 196218.44331273495 179095.98956654716]","[160983.64877454098 134176.81842938042 311767.2928799873 156998.8435601287
 181464.91179555675 146606.7788579492]"
1269,Ptges2,"[142950.70577694362 76272.95132971529 59123.47124196186 49322.98609915222
 205.36 205.36]","[87611.29976614978 63679.838587410086 94684.1610687867 74421.15938356292
 205.36 64480.024004022365]"
1270,Ubqln1,"[198278.99244153645 187780.8350540136 205.36 25502.360836895466
 137769.6176737781 79532.97296972341]","[187528.53751012214 81494.60573321111 233169.61828190915
 187815.35760722472 79576.23343784706 69388.96629893515]"
1271,Pgam1,"[1529664.827064343 1570948.2569727087 1553024.2348243063
 1612379.1003738416 1857108.1715567496 1764245.1368241902]","[1487557.5635974612 1473865.957186384 1714340.8357095441 1484307.573557445
 1697661.693239242 1549442.720503862]"
1272,Itga1,"[66098.54655132502 50327.90909445701 55473.648063985485 58601.935541276
 205.36 51908.80137970936]","[205.36 51737.430534990264 73371.87331108373 66901.3059476627
 51552.702939806695 205.36]"
1273,Tubb2a,"[57409.210263883244 91850.7970527897 60239.09852022814 86425.30954127453
 108252.4158047314 89928.0125588742]","[66381.9787498505 65886.76081026281 78076.5829008699 63068.042502806704
 73162.00111185989 91308.12170594855]"
1274,Slc2a2,"[205.36 237199.1515552363 262745.0529923526 228533.72914209237
 266034.7135716077 211618.00806115748]","[233759.01014576483 235444.22437945154 21600.848965655834
 264840.9064683474 205.36 209083.43642454757]"
1275,Ak4,"[434911.5252340943 820552.3016633056 900435.4427375423 1019734.003314935
 1020909.9163168892 968646.6098322147]","[803966.3367901857 886132.5204742118 449986.1826776786 631355.6084363777
 798135.0540652389 814206.8866065001]"
1276,Glo1,"[632295.8846208673 811141.5470306571 1060315.2461688344 740800.3845914562
 731639.0428791627 862543.0889306098]","[915076.5077283987 879180.7649378347 712954.6809070407 554775.7011673042
 592045.2425097595 672900.0121034551]"
1277,Ttc36,"[172774.67736588683 122649.11215537431 216791.73837895415
 226333.6457556933 280330.82509199734 329893.8445383936]","[250847.3559277357 157705.67928588702 22072.838093890783
 120709.23985564345 160994.02888908537 149125.44621771353]"
1278,Scrn3,"[47010.855457715326 33814.854355322386 10764.710731115632
 18608.12341744338 20483.44081530633 16639.706833022632]","[27638.079240991632 19545.30338745216 205.36 28356.793265896
 21843.76127147577 22325.9368003738]"
1279,Nadk2,"[190540.23463374327 234940.94221636257 418330.4614558334 414023.9506235119
 370603.3277757778 480994.7108577666]","[383129.47805652657 409741.87051010586 250892.98216892933
 230130.32219363574 333330.5731294587 361210.8386587653]"
1280,Tra2b,"[108412.74363765134 76726.16688712277 82203.408364013 58444.18009760403
 205.36 68093.88813040465]","[68246.97513159369 50285.26508544432 87417.98352991031 85736.6903530555
 205.36 52162.63851288796]"
1281,Ppcs,"[205.36 22245.076398466488 56469.307669387475 300537.27585726697
 58310.90098351936 112294.71433747513]","[31608.86011419493 64072.912504600805 205.36 205.36 100158.51602320647
 96716.26476443854]"
1282,Npm1,"[868085.1667592395 865792.0813864868 639366.4441704906 612353.4816621568
 347739.49764426204 531800.6114264779]","[690454.6893571987 500626.66402104846 1135083.749087841 832526.6244268374
 588171.2318266884 413875.4987541616]"
1283,Nipsnap3b,"[132907.39583748867 99283.57192694029 123316.97289066327
 161891.20918567528 148955.0064515071 187859.83577348388]","[142022.76948089793 142544.3639297289 138422.97549479158
 129535.67083725665 134836.6496027167 111138.64826639251]"
1284,Uba52,"[27853.751894098343 1252290.999864936 3100351.7652794165
 3204065.5882688737 2961947.567038151 3213531.8039695546]","[2407942.0307930573 2886419.030853083 1537750.720818392 1654367.8342645094
 2854293.5956968823 2950086.05726178]"
1285,Dcxr,"[690864.8193059135 795287.6848096142 735620.3983396891 610976.5891027655
 600052.9990014528 706524.5921811135]","[667117.0969366203 694751.7119455711 657536.2156958143 992388.4746555598
 610658.662570106 566064.7210208264]"
1286,Cald1,"[119794.17618093238 149839.66071928228 175779.21111154772
 196361.8567993486 95797.0121038202 134074.23720554452]","[46516.05831726696 139675.21014965404 117221.49750417854
 102779.02464462166 116980.274157397 170239.9889302499]"
1287,Cyfip1,"[64951.3856756939 45472.49071938902 37756.30686283687 42386.34422981146
 39792.33054000569 45339.3205105729]","[44648.464585734924 40096.760795054535 45048.32062847867 47647.9116341505
 41448.450581664256 33467.11996156203]"
1288,Lgals5,"[127999.42580877795 154167.41026214237 71824.4592342529 109118.16580449975
 112311.47724200744 57808.93221816546]","[105360.71982302098 59803.96651752854 88888.50528307508 119740.86035205208
 81113.25697471022 109361.29417789762]"
1289,Sdhc,"[205.36 205.36 8735.597678562921 13957.558618286103 15321.964540837276
 12178.18165659525]","[205.36 6103.910706767284 9067.243495590761 14688.870480445186
 12755.869384389056 10902.978531323022]"
1290,Atox1,"[310509.85731269134 399908.96573176514 359731.21615418757
 323609.82654019556 368493.29286187544 345011.78478308994]","[190010.64604445122 167827.9474887575 292182.1312864021 201207.6287351183
 351910.1858144434 417078.57992455125]"
1291,Copb1,"[613516.3367301011 485886.51253266475 380405.64876633656 322391.3049174993
 281195.17926197284 440954.43514962867]","[335453.09871059516 167694.04537890464 603992.7542844943
 408680.21061559394 335991.67441661283 335419.2719322108]"
1292,Plec,"[467327.0792480093 365967.37727985205 82045.60562841423 212807.54054837383
 100280.78882351636 163408.71152812324]","[177543.70845746095 151659.17861202493 498537.6352113491
 329857.26063230156 76162.40640512394 102179.8490310715]"
1293,Ppa1,"[965557.0357509489 815877.4527547047 924004.7084950252 921060.7841543093
 987160.0784036426 1083721.5147533694]","[817152.7836538625 885854.6209900455 1050733.581200612 914169.5153707609
 948298.429359405 853670.1789834372]"
1294,Retsat,"[192040.15516854948 119189.67069758364 93968.02040696815
 103764.36278446035 98524.83490513674 123634.78636781496]","[99852.83130971128 64807.54352418612 170387.01644039902 110281.28356113021
 82854.16007040165 113885.15007667351]"
1295,rCG_63409,"[34554.42010594292 33456.14556782989 43918.02923907401 62142.98671623569
 205.36 33225.52959793678]","[43963.75936463061 43647.46110798439 205.36 38065.00498713259
 44158.89124655977 44947.71015094521]"
1296,LOC100910017,"[1141542.0470808977 934959.851143814 729262.6319528148 659493.9667703604
 693493.0498624895 748803.8923703227]","[733408.3508668483 601315.5016752045 1200927.0714703114 992844.5321002913
 541930.3662803302 654374.8225765144]"
1297,Rpl18,"[600003.5937997677 829177.6028925845 430748.25170049374 414225.23534785735
 478127.7020280076 534993.9666175304]","[486875.8765531991 585857.8623776945 508336.4062786284 667721.5389691724
 449045.5579008905 415698.753624366]"
1298,Kynu,"[517522.31134888 321514.97050209815 107909.0704949244 173429.72929370555
 196671.47550875862 174949.62273743114]","[220280.93451771993 177187.1203574757 467639.315464645 340953.12349244027
 195716.75575918087 219460.15540162008]"
1299,Mat1a,"[1230275.4909358039 1747822.5024812394 3332831.9323006 2127913.906169918
 3225947.8536406807 2698649.420237907]","[3000393.785074048 3499764.574655988 1319541.7590452821 1476261.7026514492
 2980599.226662985 2926660.7347980645]"
1300,Contaminant,"[1252469.18607142 1047500.0279602109 89357.93624576576 753535.1474208847
 1003567.8641767594 536642.7343920753]","[974606.8360003834 923220.3821565253 1187420.608657538 1039709.2235355064
 978336.633973351 392110.2398567006]"
1301,Reep6,"[205.36 175705.07020765587 296249.5581734491 554032.304109316
 352909.487398717 321595.5851579279]","[205.36 279825.89730169845 205.36 334026.4459394749 232503.8542848272
 343706.9969066758]"
1302,0,"[295212.76027154975 230548.09900200294 78101.78405758494
 138594.24097890893 142182.66729193582 148585.75563778076]","[181458.18733295336 89873.65561186688 298247.31481957936
 253336.42191717608 139281.65156255334 162733.6393778335]"
1303,Rps2-ps6,"[2379696.748077547 1851681.1859429493 1224142.0887292991
 1457487.1149701485 1396317.0791509412 1271852.4822632254]","[1234838.6058653349 1217520.7143220329 2961256.91339402 1584847.587928755
 1232150.9537986848 1262006.6744438491]"
1304,Glul,"[651609.2137977697 359994.04659449466 254402.74234126016 763189.1269453214
 776455.7555003677 966799.9296760336]","[543210.7678850984 758853.0204859679 483337.94721087225 672556.960702173
 433804.8590405015 875713.4018808104]"
1305,Txn1,"[635470.5740706127 1342411.5229171896 1229593.2785616596
 1684936.1234160946 1596717.6858482698 1320258.1529999461]","[1298674.922623206 1609944.17043651 775552.8955980743 1275154.6582957765
 1127972.213639487 1543118.2248417297]"
1306,Psmc3,"[936266.5434725186 335161.14424657886 270991.1307218009 292903.9274466623
 256262.32880952556 359950.30292142]","[219288.61597773238 356286.86915248085 778487.1070042442 318338.0711053956
 337924.1416277262 103496.59590170081]"
1307,Adh5,"[543995.0660766046 471838.1091077038 459973.78756158985 379828.0016801317
 397453.304310765 303962.4937415623]","[399017.6695905026 398566.3696905078 554810.7973586819 402277.0482672822
 379745.33617957076 395141.7117845687]"
1308,Syncrip,"[121416.7168094607 76678.76919416973 106878.73599697762 100426.45689487651
 98685.73680940674 205.36]","[120762.34745852514 65940.7543185611 149456.366646435 71808.02444162357
 112064.5349346472 71301.81911188323]"
1309,Cyc1,"[184330.70901108516 619610.0232523048 310022.48687739176 429803.9695017091
 387482.3472985341 728470.5030835217]","[682444.6075902131 490665.4645693763 335906.34940325824 546388.3135668288
 830298.468397413 1036173.11309945]"
1310,Picalm,"[107020.22721185921 80915.65568085518 85558.45175152476 81216.94611057841
 205.36 105683.8792864626]","[54431.20321326187 81165.4736796158 104963.33202018189 74860.20362286147
 88205.09784510177 72126.69596114848]"
1311,Glod4,"[67858.04436950496 127456.21613623957 51298.335052200586
 107808.02142410599 60218.11444830305 86992.12353702456]","[58001.64577516222 100150.16803712267 64990.477812787845 98364.38725513144
 58352.73435316366 126172.81066143452]"
1312,Ctsd,"[2449.157123780527 205.36 156309.47916542547 244527.32861583726
 260610.34791981502 270518.43829129374]","[147882.88943169537 157560.30803506458 205.36 205.36 192073.6466192166
 180819.3533846296]"
1313,Rps21,"[205.36 141789.52051017026 443558.78552330623 489443.4525410136
 491498.9388080256 484826.15811884747]","[321971.2554982324 406680.8082113539 205.36 205.36 377428.86400800047
 420921.6386721213]"
1314,Rpn2,"[4575739.994180175 2959146.7805650923 2787343.7992746467 3660542.693929673
 3550260.0833272636 3735361.249738598]","[3535997.66310533 2712744.2787839924 4665661.890314273 2917476.84888751
 3164211.215901462 2758353.1485850303]"
1315,Slc39a14,"[205.36 7553.158868153325 205.36 62477.96263642034 8510.811149918778
 33495.16294856031]","[35727.393308637445 30328.612138389322 205.36 11098.61411524082
 25965.104958139138 29626.06522705085]"
1316,Coasy,"[642002.727613915 512970.5438737188 344301.41781473526 340156.35078879143
 351061.48475853296 395637.6037280606]","[384634.06020154594 345848.2172185551 556405.277564467 456566.5238516981
 397702.2988471025 335790.3313549527]"
1317,Cops4,"[205.36 31991.771893409485 205.36 205.36 27643.04359039701
 29142.500078035886]","[205.36 22917.063515820908 47840.79931330334 205.36 205.36
 30532.137531797565]"
1318,Manf,"[72302.14196736632 205.36 158796.65276942903 113039.25786618618
 96251.85646143727 242252.98521686537]","[75794.44480142831 164040.6250943458 95995.20888676557 205.36
 183999.26944106858 91429.7497140576]"
1319,Abca8a,[205.36 205.36 53838.656727261514 205.36 205.36 205.36],"[205.36 51604.22874820248 127342.1371950673 205.36 205.36
 71423.50625458914]"
1320,Abce1,"[205.36 106940.6817582253 44288.37429749937 111956.06564761302
 49433.37291392089 121438.54156430683]","[34663.33341144927 40684.747378825065 205.36 205.36 138167.07075506137
 89844.78275517025]"
1321,Maoa,"[1056475.3782638279 901257.4032052122 1083402.3806559062 708985.536975315
 792140.7241781484 895335.1955282352]","[911423.7211623881 755767.0623116213 869756.6817613309 1099632.2442013905
 886257.2199621785 722254.0393674484]"
1322,Agl,"[1709633.2955231157 1502632.8664551168 766371.2283766835 1070890.824827048
 689234.2969444594 1196682.1373705226]","[1161636.4005106797 1104248.219432062 1625791.0205450142
 1518288.2171722786 1004784.4772708132 853842.2547820571]"
1323,Sacm1l,"[205.36 124277.13044463153 158846.5477716854 151104.35373589437
 120283.72630374535 126669.69390462103]","[134745.49671101265 108345.70572918716 205.36 205.36 108105.48524377953
 158758.81576476284]"
1324,Uqcrfs1,"[412875.35629412136 359763.6832728604 136352.9536066718 253362.73781712653
 363287.11899163696 262989.1416450271]","[167605.19420688745 295138.41582577414 393988.24619660695
 285807.4365378084 272447.84148975165 330663.87026732025]"
1325,Cpt2,"[378909.8423487468 565259.7411617334 427944.0760082613 525080.3285574313
 526516.4191225865 576590.1622666579]","[484726.97309064015 572337.2132600714 535379.5709673656 447927.65580774075
 515983.84818268765 490083.3206730439]"
1326,Ganab,"[667536.3478801706 548357.8556021699 528931.5278087242 698534.9449240612
 603598.2750319107 727141.2992175998]","[595394.7743910059 551301.7687911405 672635.7420058033 624136.5533493744
 593843.0702937919 502577.32026334235]"
1327,Gcn1l1,"[133324.8013874232 205.36 34841.467947926256 36038.550536909286 205.36
 39484.092892811546]","[205.36 28481.47836239389 142604.350739861 104489.00336710215 205.36
 87940.34940378224]"
1328,Hba-a3,"[11965353.539245963 28462583.18308241 16592925.318014339
 26675502.728894085 31630468.117916837 22764932.543535203]","[19820136.289826073 24850721.81209531 10477424.751369232
 26546026.653932605 36021665.359247275 29354873.364776503]"
1329,Crot,"[205.36 41871.219550593196 50181.85393739122 51083.79567730497 205.36
 39460.70821719223]","[37264.03585392338 58007.18248021006 26157.92084652872 51552.90318188261
 205.36 42309.42655204028]"
1330,Acsm5,"[832519.6776742024 1164170.493917039 1175181.5349737387 157144.4958628475
 284630.4119157803 65012.00630852756]","[295127.1755247996 96483.15195222154 16259.073114182727 969265.1304032962
 16697.059934016255 168939.9538146502]"
1331,Comt,"[8929963.516081134 10034038.155613525 8824577.1701689 7737936.595326975
 9600892.95461868 4712960.856639278]","[10088919.20267157 6511006.87106231 12116146.468322493 8827758.292402413
 7490508.094256488 8628572.989822617]"
1332,Ogdh,"[683109.9758146115 440399.6930228123 674752.2636469747 1026920.6427260365
 785272.3474599812 812267.9392956898]","[648365.4080873616 876289.2426241237 658823.4983736017 464085.67153397814
 736748.2907455829 731929.95603697]"
1333,Lrpap1,"[205.36 205.36 13779.316151717514 205.36 17518.228973312664
 13667.768248581802]","[13078.435123277586 15447.507898631857 205.36 205.36 19237.03708050664
 205.36]"
1334,Luc7l2,"[26857.86152466131 21321.782255700873 12634.859390699348 205.36 205.36
 18855.40456274209]",[205.36 15882.80815495301 205.36 27888.698246230168 205.36 205.36]
1335,Tkfc,"[5957194.75028076 6147251.134795836 3805332.0897991206 5002035.9592150375
 4531129.595006476 2664526.6363336775]","[4212559.377433103 3984688.182333965 5104248.50654494 5860917.423520524
 4086797.4254918797 3347923.1004049946]"
1336,Psmb2,"[496605.661897113 535153.7652954393 463404.03279077756 511500.12709754694
 524371.5019325633 518341.39404865436]","[473736.82499898475 502029.99011080223 667165.8400941909
 468228.40511246154 578347.204978446 473195.38939715055]"
1337,Psmd2,"[357162.1413794283 295063.27397864166 106293.58723981174 142392.7063757602
 182131.26790227252 134768.6487584723]","[231535.69826708504 211854.92380074068 375810.4399254163
 245314.02231299088 231270.20259068656 158299.37710675283]"
